Timestamp,How fast does human hair grow (cm/yr)?,"If every living person stood crammed together side-by-side, how large of an area would they occupy (km²)?","How many days would it take to walk from here to New York City (assuming no stopping to fix shoes, apply sunscreen, or for sleeping, eating, or other biological needs)?"
10/14/20 0:04,10,10^8,40
10/14/20 3:01,40,1150000,52
10/14/20 3:23,15,100,30
10/14/20 6:51,20,110 billion,40
10/14/20 7:23,17,10^20,70
10/14/20 7:32,10,40*10^6,50
10/14/20 11:05,25,700,69
10/14/20 12:18,20,20,150
10/14/20 13:43,60/1,100000,30
10/14/20 14:04,36,200,280
10/14/20 14:23,10cm/yr,"1,500 km^2",120
10/14/20 17:33,30,1.96E+14,100
10/14/20 20:18,10,"100,000",3 years
10/14/20 20:27,6,80000,43
10/14/20 21:05,8,100,1200
10/14/20 21:22,8,50,40
10/14/20 22:56,10,60000,40
10/14/20 23:25,80,2*10^6,"1,500"
10/15/20 0:16,12,175,100
10/15/20 0:41,10^2,"10^-3km per person, 10^9 people on earth, answer: [10^6km]",10^3
10/15/20 1:32,14,100,100
10/15/20 7:19,15,650000,28
10/15/20 10:31,10,2.4 *10,1.8 * 10
10/15/20 10:38,5cm/yr,100000km^2,3 months
10/15/20 12:53,10,1000000,1000
10/15/20 14:09,8,3500000,25
10/15/20 15:05,16,10000,9
10/15/20 18:20,15,1500 km^2,50 days
10/15/20 19:55,10,10^9,10^5
10/15/20 21:01,10,1,6 days 
10/15/20 21:56,10,700000,20
10/15/20 22:26,20,2000000,1300
10/16/20 9:54,10,10000,40
10/16/20 10:25,10,2000,50
10/16/20 13:47,30,5000,30
10/16/20 14:19,24,"100,000",100
10/16/20 15:55,10,"8,000,000,000",150
10/16/20 17:14,40,4000,30
10/16/20 18:00,12,650,"42 (I'm assuming ""here"" means ucsd)"
10/16/20 20:05,10,2500000,1000
10/16/20 22:32,7,100000,240
10/16/20 23:04,20,500000,40
10/22/20 0:47,10^1 cm,10^9,10^2
