new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
115_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",8,9
115_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",8,9
116_sp21,1,NA,NA,NA,NA,NA,NA,NA
117_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,None of these (I'm not comfortable programming),"p-value, A|B testing",7,2
118_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal)",6,8
119_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, MATLAB","GitHub, Python, Jupyter Notebooks, p-value, p-hacking, pandas (the package, not the animal), A|B testing",8,7
120_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),"GitHub, machine learning",2,4
121_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,Communicate results concisely and effectively in reports and presentations,Python,GitHub,3,3
122_sp21,1,NA,NA,NA,NA,NA,NA,NA
123_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, MATLAB","GitHub, Python, Jupyter Notebooks, machine learning, p-value",8,9
124_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, R","Python, Jupyter Notebooks, tabular data, p-value, p-hacking, pandas (the package, not the animal)",10,7
125_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, tabular data, JSON, confounding, p-value, p-hacking, geospatial analysis, A|B testing",8,9
126_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","Python, Jupyter Notebooks, machine learning",4,6
127_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Java,none of the above,5,4
128_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,"Python, Java","GitHub, Python, Jupyter Notebooks, JSON, machine learning, pandas (the package, not the animal), sklearn",4,9
129_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",6,8
129_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, geospatial analysis",6,8
130_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, R","GitHub, Python, Jupyter Notebooks, pandas (the package, not the animal)",5,7
131_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, geospatial analysis, pandas (the package, not the animal), sklearn, tetral analysis, A|B testing",7,9
132_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",6,9
133_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,"Python, p-value",4,3
134_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"Python, p-value",5,8
135_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","Python, JSON, p-hacking, pandas (the package, not the animal)",4,6
136_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",7,8
137_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,Communicate results concisely and effectively in reports and presentations,"Python, Java","GitHub, Python, Jupyter Notebooks, p-value, A|B testing",8,8
138_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,"Python, MATLAB","Python, Jupyter Notebooks, machine learning",7,7
139_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","version control (i.e. git), GitHub, Python",1,10
140_sp21,1,"Reliable Internet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),A|B testing,2,2
141_sp21,1,NA,NA,NA,NA,NA,NA,NA
142_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Formulate a plan for and complete a data science project from start (question) to finish (communication),"Python, Java, MATLAB","data science, GitHub, Python, Jupyter Notebooks, machine learning",7,7
143_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, R","Python, p-value",7,9
144_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"Python, Jupyter Notebooks, pandas (the package, not the animal)",4,6
145_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-6,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB","GitHub, p-value",9,6
146_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,"version control (i.e. git), GitHub",3,7
147_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"data science, GitHub, Python, Jupyter Notebooks, machine learning, pandas (the package, not the animal)",2,4
148_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","data science, Python, Jupyter Notebooks, p-value, sentiment analysis, pandas (the package, not the animal), A|B testing",3,7
149_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB, None of these (I'm not comfortable programming)","GitHub, JSON, p-value, A|B testing",2,4
150_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, pandas (the package, not the animal)",8,10
151_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, MATLAB","Python, Jupyter Notebooks, machine learning, pandas (the package, not the animal)",6,4
152_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), A|B testing",6,10
153_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Java, MATLAB, R",GitHub,6,8
154_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Java,none of the above,4,8
155_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",Python,p-value,7,5
156_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations",None of these (I'm not comfortable programming),"Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal)",7,5
157_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,Python,"Python, sklearn",6,5
158_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations",Python,"Python, Jupyter Notebooks",5,6
159_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"Python, confounding, p-hacking",3,8
160_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"version control (i.e. git), GitHub, Jupyter Notebooks, JSON, p-value, sentiment analysis, pandas (the package, not the animal)",7,7
161_sp21,1,NA,NA,NA,NA,NA,NA,NA
162_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","data science, version control (i.e. git), GitHub, JSON, sentiment analysis, A|B testing",6,6
163_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, pandas (the package, not the animal), A|B testing",8,8
164_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,none of the above,5,9
165_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,Java,GitHub,4,8
166_sp21,1,"Reliable Internet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","GitHub, Python, Jupyter Notebooks, JSON, machine learning",5,8
167_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"data science, Python, confounding",3,8
168_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"GitHub, Python, Jupyter Notebooks, machine learning, p-value",7,7
169_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Java,"p-value, A|B testing",7,7
170_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB",none of the above,2,5
171_sp21,1,"Reliable Internet, Access to YouTube",-7,None of these,"Python, Java",none of the above,3,5
172_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,None of these (I'm not comfortable programming),"GitHub, A|B testing",6,4
173_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",9,9
174_sp21,1,NA,NA,NA,NA,NA,NA,NA
175_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, R","Python, confounding",5,7
176_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,none of the above,1,4
177_sp21,1,"A functioning laptop or tablet, Access to YouTube",+2,None of these,"Python, Java",Python,6,5
178_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm comfortable in another language),"version control (i.e. git), GitHub, A|B testing",2,6
179_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),Jupyter Notebooks,5,4
180_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, MATLAB, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, confounding, p-value, sentiment analysis, sklearn, A|B testing",7,9
180_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, MATLAB, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, sentiment analysis, sklearn, A|B testing",7,9
181_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),"Python, p-value",4,4
182_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, MATLAB","data science, Python, Jupyter Notebooks, tabular data, confounding, p-value, pandas (the package, not the animal)",6,6
183_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",8,10
184_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,None of these,Python,GitHub,6,6
185_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8
186_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn, A|B testing",5,5
187_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java, MATLAB, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, p-value, sentiment analysis, pandas (the package, not the animal), A|B testing",7,4
188_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",10,10
189_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),none of the above,4,5
190_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Formulate a plan for and complete a data science project from start (question) to finish (communication),Python,"data science, Python, Jupyter Notebooks, machine learning, sentiment analysis, pandas (the package, not the animal), sklearn",7,7
191_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, confounding, p-value, pandas (the package, not the animal)",6,8
192_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,None of these,Python,"data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn",6,6
193_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python",Python,"data science, GitHub, Python, Jupyter Notebooks, tabular data, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",8,8
194_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python",Python,"data science, GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",8,9
195_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,MATLAB,GitHub,2,8
196_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",4,7
197_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",7,9
198_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON",7,9
199_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-6,None of these,"Python, Java",none of the above,5,8
200_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","version control (i.e. git), GitHub, Python, JSON, p-value",7,10
201_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),none of the above,4,4
202_sp21,1,A functioning laptop or tablet,+8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java","data science, GitHub, Python, Jupyter Notebooks",6,8
203_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations",Java,"version control (i.e. git), GitHub, p-value, p-hacking, A|B testing",7,8
204_sp21,1,"Reliable Internet, A functioning laptop or tablet",+8,Communicate results concisely and effectively in reports and presentations,Python,"Python, Jupyter Notebooks",4,5
205_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",Python,"Python, p-value",6,3
206_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),p-value,4,2
207_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, pandas (the package, not the animal)",3,9
208_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"data science, GitHub, Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",6,5
209_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","version control (i.e. git), GitHub, Python, machine learning, p-value",5,8
210_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"Python, Jupyter Notebooks, pandas (the package, not the animal)",2,4
211_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java","GitHub, Python, Jupyter Notebooks, p-value",7,9
212_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","GitHub, Python, Jupyter Notebooks, machine learning",5,10
213_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations",None of these (I'm not comfortable programming),none of the above,9,5
214_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, MATLAB","version control (i.e. git), Jupyter Notebooks",7,7
215_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,Communicate results concisely and effectively in reports and presentations,"Python, Java",none of the above,6,5
216_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",5,9
217_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Java,"GitHub, p-value",10,5
218_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Identify and explain how to approach an unfamiliar data science task","Python, Java","tabular data, p-value, pandas (the package, not the animal), A|B testing",7,7
219_sp21,1,"A functioning laptop or tablet, Access to YouTube",-8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations",Java,none of the above,2,4
220_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, pandas (the package, not the animal), sklearn, A|B testing",7,9
221_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, MATLAB","Jupyter Notebooks, pandas (the package, not the animal)",7,7
222_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, R","Python, Jupyter Notebooks, p-value, pandas (the package, not the animal)",6,6
223_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Java,"JSON, A|B testing",3,4
223_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Java,"version control (i.e. git), GitHub, JSON, A|B testing",3,6
224_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, machine learning, p-value, pandas (the package, not the animal), A|B testing",9,9
225_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","data science, GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, p-value, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,9
226_sp21,1,NA,NA,NA,NA,NA,NA,NA
227_sp21,1,"A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java, None of these (I'm not comfortable programming)",A|B testing,10,5
228_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,MATLAB,"version control (i.e. git), GitHub, machine learning",8,2
229_sp21,1,NA,NA,NA,NA,NA,NA,NA
230_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Java, MATLAB",none of the above,3,8
231_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Java,"data science, version control (i.e. git), GitHub, Python",5,6
232_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB","GitHub, Jupyter Notebooks, p-value",6,8
233_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Python, Java","Python, p-value",7,8
234_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java, MATLAB","data science, GitHub, Python, JSON, machine learning, geospatial analysis",6,10
235_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"pandas (the package, not the animal)",5,5
236_sp21,1,NA,NA,NA,NA,NA,NA,NA
237_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB, R","Python, Jupyter Notebooks, machine learning",7,10
238_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"data science, Python, Jupyter Notebooks, machine learning, confounding, p-value, pandas (the package, not the animal)",4,7
238_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,Python,"GitHub, Jupyter Notebooks, p-value, pandas (the package, not the animal)",4,5
239_sp21,1,NA,NA,NA,NA,NA,NA,NA
240_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Identify and explain how to approach an unfamiliar data science task,"Python, Java, MATLAB, R","data science, Python, Jupyter Notebooks, confounding, p-value, pandas (the package, not the animal), A|B testing",10,8
241_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,None of these (I'm not comfortable programming),none of the above,3,1
242_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Java, None of these (I'm comfortable in another language)","version control (i.e. git), GitHub, JSON",7,9
