new_id,enrolled,To which of the following do you have access to this Spring Quarter?,"Use the map below to answer this question. During this quarter, what time zone are you in? (For example, if you are in San Diego, your answer would be -7. If you are in UTC, respond with 0)","Check all that apply: Before COGS 108, which of the following skills do you feel you possess? (Note: you're not expected to have any of these before taking the class; we're just curious!)",In which of the following programming language(s) are you comfortable? Check all that apply.,"Which of the following topics are you familiar with? (Here, familiar means you could explain the topic clearly to a friend without Googling it first.) Check all that apply.",How comfortable are you with statistics?,How comfortable are you with programming?
019_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Formulate a plan for and complete a data science project from start (question) to finish (communication),"Java, MATLAB","GitHub, p-value",4,4
019_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,"Java, MATLAB","GitHub, p-value, A|B testing",3,5
020_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Python, Java","data science, GitHub, p-value",5,7
021_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task",None of these (I'm comfortable in another language),"GitHub, Python, p-value",6,7
022_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,R,"GitHub, Python",3,4
023_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, R","data science, version control (i.e. git), GitHub, Python, JSON, p-value, sentiment analysis",9,10
024_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, R","version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value",8,10
025_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, None of these","Java, R","version control (i.e. git), GitHub, Python, tabular data, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",6,6
025_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, None of these","Java, R","version control (i.e. git), GitHub, Python, tabular data, machine learning, p-value, pandas (the package, not the animal), sklearn, A|B testing",6,6
026_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,None of these,"Java, None of these (I'm not comfortable programming)",none of the above,5,3
027_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),none of the above,7,4
028_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations, Identify and explain how to approach an unfamiliar data science task","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, sentiment analysis, none of the above, pandas (the package, not the animal), sklearn, A|B testing",6,9
029_sp21,1,Reliable Internet,-7,None of these,Python,"Python, Jupyter Notebooks",5,6
030_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, Java, MATLAB","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, machine learning, p-value, p-hacking, A|B testing",8,7
031_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Formulate a plan for and complete a data science project from start (question) to finish (communication), Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, sentiment analysis, geospatial analysis, pandas (the package, not the animal), sklearn",6,7
032_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java","version control (i.e. git), GitHub, Python, Jupyter Notebooks, JSON, machine learning, p-value, pandas (the package, not the animal), sklearn",6,8
033_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,Python,"data science, GitHub, Python, Jupyter Notebooks, confounding, p-value",8,7
034_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, MATLAB, R","data science, version control (i.e. git), GitHub, Python, Jupyter Notebooks, tabular data, JSON, machine learning, confounding, p-value, p-hacking, sentiment analysis, pandas (the package, not the animal), sklearn, A|B testing",8,8
035_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Communicate results concisely and effectively in reports and presentations, None of these","Python, Java","version control (i.e. git), Python, Jupyter Notebooks, JSON, machine learning, A|B testing",3,5
036_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,Communicate results concisely and effectively in reports and presentations,None of these (I'm not comfortable programming),none of the above,6,3
037_sp21,1,A functioning laptop or tablet,+8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python","Python, R","Python, p-value, pandas (the package, not the animal), sklearn, A|B testing",1,7
038_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",+8,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Identify and explain how to approach an unfamiliar data science task","Python, Java","GitHub, Python",5,5
039_sp21,1,"Reliable Internet, A functioning laptop or tablet, Access to YouTube",-7,"Explain and carry out descriptive, exploratory, inferential, and predictive analyses in Python, Communicate results concisely and effectively in reports and presentations","Python, Java, R","Python, Jupyter Notebooks",6,7
